"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month","Flag_ChlaNuts"
"LIS",38.474816,-121.588584,2012-08-31 15:30:00,NA,"ESH0812B0037",10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"8","1"
"LIS",38.474816,-121.588584,2012-08-31 15:30:00,NA,"ESH0812B0037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"8",NA
"LIS",38.474816,-121.588584,2012-08-31 15:30:00,NA,"ESH0812B0037",NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"8",NA
"LIS",38.474816,-121.588584,2012-09-04 18:00:00,NA,"ESF0912B0004",6.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9","1"
"LIS",38.474816,-121.588584,2012-09-04 18:00:00,NA,"ESF0912B0004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-04 18:00:00,NA,"ESF0912B0004",NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-07 09:55:00,NA,"ESF0912B0033",4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9","1"
"LIS",38.474816,-121.588584,2012-09-07 09:55:00,NA,"ESF0912B0033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-07 09:55:00,NA,"ESF0912B0033",NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-11 10:30:00,NA,"ESF0912B0045",5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9","1"
"LIS",38.474816,-121.588584,2012-09-11 10:30:00,NA,"ESF0912B0045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-11 10:30:00,NA,"ESF0912B0045",NA,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-14 09:25:00,NA,"ESF0912B0069",6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9","1"
"LIS",38.474816,-121.588584,2012-09-14 09:25:00,NA,"ESF0912B0069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-14 09:25:00,NA,"ESF0912B0069",NA,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-17 10:47:00,NA,"ESF0912B0081",7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9","1"
"LIS",38.474816,-121.588584,2012-09-17 10:47:00,NA,"ESF0912B0081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-17 10:47:00,NA,"ESF0912B0081",NA,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
"LIS",38.474816,-121.588584,2012-09-25 11:15:00,NA,"ESH0912B0047",19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9","1"
"LIS",38.474816,-121.588584,2012-09-25 11:15:00,NA,"ESH0912B0047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9",NA
