QST_ID,ACT_UNIT_NAME,SAM_ACT_CODE_OWNER,RUN_CODE,RUN_USER_RUN_NUMBER,RUN_NAME,SAM_USER_STATION_NUM,STATION_NUM,NAME,FULL_STATION_NAME,TQS_DESCRIPTION,STY_DESCRIPTION,KIWQM_SAMPLING_NUMBER,SAM_CODE,SAM_SAM_CODE_PARENT,KIWQM_REPLICATE_NUMBER,SAM_COLLECTION_DATE,SPP_DESCRIPTION
47116,Aquatic Ecology,330,ESA0110B0002,ESA0110B0002,Yolo Bypass 2010,A0200000,A0200000,SHER,Sacramento River @ Sherwood Harbor,,River and Stream,0,ESA0110B0003,0,1,1/6/2010 10:28,Replicate Sample
47116,Aquatic Ecology,330,ESA0110B0002,ESA0110B0002,Yolo Bypass 2010,A0200000,A0200000,SHER,Sacramento River @ Sherwood Harbor,,River and Stream,ESA0110B0001,ESA0110B0001,0,,1/6/2010 10:28,Normal Sample
47529,Aquatic Ecology,330,ESA0110B0002,ESA0110B0002,Yolo Bypass 2010,A0D82120386,A0D82120386,Toe Drain at STTD,Toe Drain at Rotary Screw Trap,,Broad Water Body,ESA0110B0002,ESA0110B0002,0,,1/6/2010 12:00,Normal Sample
47529,Aquatic Ecology,330,ESA0110B0002,ESA0110B0002,Yolo Bypass 2010,A0D82120386,A0D82120386,Toe Drain at STTD,Toe Drain at Rotary Screw Trap,,Broad Water Body,ESA0110B0002,ESA0110B0004,ESA0110B0002,1,1/6/2010 12:00,Replicate Sample
47116,Aquatic Ecology,330,ESA0110B0003,ESA0110B0003,Yolo Bypass 2009,A0200000,A0200000,SHER,Sacramento River @ Sherwood Harbor,,River and Stream,0,ESA0110B0007,0,1,1/13/2010 9:18,Replicate Sample
47116,Aquatic Ecology,330,ESA0110B0003,ESA0110B0003,Yolo Bypass 2009,A0200000,A0200000,SHER,Sacramento River @ Sherwood Harbor,,River and Stream,ESA0110B0005,ESA0110B0005,0,,1/13/2010 9:18,Normal Sample
47529,Aquatic Ecology,330,ESA0110B0003,ESA0110B0003,Yolo Bypass 2009,A0D82120386,A0D82120386,Toe Drain at STTD,Toe Drain at Rotary Screw Trap,,Broad Water Body,ESA0110B0006,ESA0110B0006,0,,1/13/2010 10:56,Normal Sample
47529,Aquatic Ecology,330,ESA0110B0003,ESA0110B0003,Yolo Bypass 2009,A0D82120386,A0D82120386,Toe Drain at STTD,Toe Drain at Rotary Screw Trap,,Broad Water Body,0,ESA0110B0008,0,1,1/13/2010 10:56,Replicate Sample
47116,Aquatic Ecology,330,ESA0110B0007,ESA0110B0007,Yolo Bypass 2009,A0200000,A0200000,SHER,Sacramento River @ Sherwood Harbor,,River and Stream,ESA0110B0021,ESA0110B0021,0,,1/21/2010 9:12,Normal Sample
47529,Aquatic Ecology,330,ESA0110B0007,ESA0110B0007,Yolo Bypass 2009,A0D82120386,A0D82120386,Toe Drain at STTD,Toe Drain at Rotary Screw Trap,,Broad Water Body,ESA0110B0022,ESA0110B0022,0,,1/21/2010 11:21,Normal Sample
47116,Aquatic Ecology,330,ESA0110B0009,ESA0110B0009,Yolo Bypass 2009,A0200000,A0200000,SHER,Sacramento River @ Sherwood Harbor,,River and Stream,ESA0110B0127,ESA0110B0127,0,,1/26/2010 9:19,Normal Sample
