"sample_date","sample_time","datetime","station_code","event_id","depth_m","volume_received_m_l","volume_analyzed_m_l","organisims_per_ml","percent_of_sample_counted","field_of_view_mm2","slide_chamber_area_mm2","area_counted","dimension","number_of_fields_counted","factor","comments","unit_abundance","total_cells","taxon","genus","species","synonym","diatom_soft_body","colony_filament_individual_group_code","shape","gald1","gald2","gald3","biovolume_1","biovolume_2","biovolume_3","biovolume_4","biovolume_5","biovolume_6","biovolume_7","biovolume_8","biovolume_9","biovolume_10","measurement_average","measurement_1","measurement_2","measurement_3","measurement_4","measurement_5","measurement_6","measurement_7","measurement_8","measurement_9","measurement_10","measurement_11","measurement_12","measurement_13","measurement_14","measurement_15","measurement_16","measurement_17","measurement_18","measurement_19","measurement_20","measurement_21","measurement_22","measurement_23","measurement_24","measurement_25"
2013-10-30,"08:50:00",2013-10-30 08:50:00,"STTD","STTD_2013-10-30 08:50:00",0,63,3,300.286518085063,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"High sediment and low detritus.",1,1,"cf. Cocconeis sp.","Cocconeis","sp.",NA,"Diatom","i","elliptic prism",7.4,NA,NA,61.49034107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"08:50:00",2013-10-30 08:50:00,"STTD","STTD_2013-10-30 08:50:00",0,63,3,1201.14607234025,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"High sediment and low detritus.",4,4,"cf. Cyclotella sp.","Cyclotella","sp.",NA,"Diatom","i","cylinder",7.4,NA,NA,159.13095827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"08:50:00",2013-10-30 08:50:00,"STTD","STTD_2013-10-30 08:50:00",0,63,3,300.286518085063,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"High sediment and low detritus.",1,1,"Nitzschia palea","Nitzschia","palea",NA,"Diatom","i","prism on parallelogram",27.8,NA,NA,190.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"08:50:00",2013-10-30 08:50:00,"STTD","STTD_2013-10-30 08:50:00",0,63,3,300.286518085063,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"High sediment and low detritus.",1,1,"Ankistrodesmus nannoselene","Ankistrodesmus","nannoselene",NA,"Soft Body","i","cylinder + 2 cones",6.5,NA,NA,20.55581606875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"08:50:00",2013-10-30 08:50:00,"STTD","STTD_2013-10-30 08:50:00",0,63,3,300.286518085063,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"High sediment and low detritus.",1,4,"Desmodesmus opoliensis var. carinatus","Desmodesmus","opoliensis var. carinatus",NA,"Soft Body","c","N/A",8.5,NA,NA,16.0666148583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"08:50:00",2013-10-30 08:50:00,"STTD","STTD_2013-10-30 08:50:00",0,63,3,169962.169236146,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"High sediment and low detritus.",566,1153,"Chroococcus microscopicus","Chroococcus","microscopicus",NA,"Soft Body","c","sphere",0.8,NA,NA,0.268082346666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,1801.71910851038,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",2,2,"Navicula sp.","Navicula","sp.",NA,"Diatom","i","elliptic prism",27.8,NA,NA,904.80305272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,900.859554255189,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",1,1,"Nitzschia sp.","Nitzschia","sp.",NA,"Diatom","i","prism on parallelogram",14.8,NA,NA,52.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,900.859554255189,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Fragment. Low sediment.",1,1,"Sellaphora sp.","Sellaphora","sp.",NA,"Diatom","i","box",9.3,NA,NA,254.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,900.859554255189,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",1,1,"cf. Surirella sp.","Surirella","sp.",NA,"Diatom","i","elliptic prism",20.4,NA,NA,502.45333824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
