PhysicalDataID,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,FieldComments,Field1
222,1950,0.02,1532,0.06,1038,0.53,531,2.22,89.74,,
224,1803.4,0.04,1256.5,0.07,921.8,0.22,486,0.92,19.27,,
225,1930,0.08,1576.6,0.09,1059.5,0.19,525.3,0.62,23.26,,
227,2077,0.04,1550,0.09,1065.2,0.19,506.4,0.71,20.56,,
228,1976,0.003,1452,0.01,964,0.016,523,0.042,29.3,,
229,2114,0.09,1558.2,0.14,1090,0.2,509.02,0.38,49.39,,
230,2023,0.005,1643.2,0.06,1146.7,0.23,520.3,0.89,22.5,,
233,1580.6,0.06,1064,0.39,759.2,0.79,389.3,1.98,60.34,,
234,2066,0.08,1653,0.12,849,0.28,547,0.4,25,,
239,1980.9,0.06,1541.5,0.08,1060.2,0.16,509.6,0.58,23.56,,
241,1973.7,0.07,1522.1,0.16,1005,0.29,500.3,1,20.36,,
243,1826.2,0.04,1367,0.07,928.2,0.41,458.6,2.23,38.65,,
244,1848.6,0.06,1346.7,0.08,888.9,0.18,457.2,0.82,19.89,,
245,1998.6,0.02,1500.1,0.06,986.6,0.22,491.2,1.03,20.01,,
246,901,0.01,650.9,0.05,473.4,0.19,220.4,0.77,8.99,,
247,454,0.02,359.5,0.04,220.6,0.53,113.57,1.85,16.86,,
248,1906.6,0.06,1417.2,0.09,922.9,0.19,417.7,0.48,21.31,,
249,2048,0.05,1562.5,0.08,1048.5,0.18,490.8,0.68,24.72,,
250,1989.9,0.05,1514.6,0.13,1045.7,0.25,505.7,0.82,22.28,,
251,1829.2,0.04,1382.9,0.08,895.9,0.32,473.8,1.42,18.07,,
252,1691.7,0.06,1255,0.22,846.7,0.41,419.23,1.2,16,,
253,1962.5,0.03,1498,0.14,1010.7,0.57,498.2,2.19,19.19,,
254,805.2,0.03,565.5,0.09,402.6,0.27,227.2,1.12,7.05,,
255,1596.7,0.03,1231.7,0.05,955.4,0.08,398.6,1.95,17.43,,
256,1934.3,0.03,1404.1,0.07,909.3,0.23,505.4,0.73,19.08,,
257,2146,0.01,1600,0.03,1116.2,0.82,511.7,2,78.4,,
258,2000,0.05,1507.2,0.16,1021.7,0.37,518,1.64,21.49,,
259,2079,0.06,1643,0.11,1051,0.27,576.5,1.7,21.1,,
261,2020,0.06,1539,0.12,1082.9,0.25,506.1,0.78,20.6,,
262,1829.6,0.04,1329,0.39,915.4,0.7,463.5,1.96,43.83,,
263,2002,0.06,1485,0.13,991.2,0.19,509.9,0.57,20.83,,
264,1889.5,0.03,1398.2,0.12,916.8,0.61,477.3,2.14,41.25,,
265,2054,0.03,1484.5,0.05,1039.7,0.14,499.7,0.31,20.32,,
266,2184,0.04,1642.8,0.31,1127.5,0.87,550.7,2.1,40.66,,
267,1884.7,0.08,1382.5,0.11,952.6,0.18,474.5,0.45,18.28,,
268,2000.74,0.03,1541.2,0.11,1006.8,0.59,522,2,66.6,,
270,2053,0.05,1531,0.14,996,0.3,523,0.87,22,,
271,2123,0.06,1643,0.1,1083.1,0.77,538,1.97,19.88,,
272,2202,0.06,1647.8,0.14,1151.6,0.3,578.6,0.85,21.94,,
273,2069,0.02,1457,0.05,950,0.39,505,2.12,37.3,,
274,1983,0.04,1482,0.06,1021.7,0.27,489,0.72,23.43,,
275,2125,0.04,1609,0.14,1070,0.66,538,2,40.4,,
276,2072,0.03,1555,0.15,1054.6,0.23,552.4,0.57,19.53,,
277,2050,0.03,1539,0.22,1019.9,0.5,551.3,1.9,42.23,,
278,2100,0.03,1578.7,0.1,1012,0.12,608.24,0.36,22.08,,
279,2114.1,0.07,1533,0.22,1087.9,0.62,575.1,1.81,67.42,,
280,2091,0.08,1575.2,0.11,1073.4,0.16,537.5,0.42,28.77,,
281,257.1,0.02,192.79,0.04,130.71,0.51,64.77,1.23,25.51,,
282,433.8,0.02,321,0.05,219.1,0.26,108.11,0.46,42.12,,
