attributeName,measurementScale,domain,unit,numberType,attributeLabel,attributeDefinition,definition,formatString
Station,nominal,textDomain,NA,NA,NA,station identifier,any text,NA
Latitude,ratio,numericDomain,degree,real,NA,latitude of station,NA,NA
Longitude,ratio,numericDomain,degree,real,NA,longitude of station,NA,NA
Datetime,dateTime,dateTimeDomain,NA,NA,NA,date and time of measurement,NA,YYYY-MM-HH hh:mm:ss
Notes,nominal,textDomain,NA,NA,NA,notes about sample,any text,NA
SampleCode,nominal,textDomain,NA,NA,NA,sample identifier,any text,NA
Chlorophyll,ratio,numericDomain,microgramPerLiter,real,NA,chlorophyll concentration,NA,NA
Pheophytin,ratio,numericDomain,microgramPerLiter,real,NA,pheophytin concentration,NA,NA
DissAmmonia_Sign,nominal,textDomain,NA,NA,NA,dissolved ammonia sign,comparison operators,NA
DissAmmonia,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved ammonia concentration,NA,NA
DissCalcium,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved calcium concentration,NA,NA
DissChloride,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved chloride concentration,NA,NA
DissNitrateNitrite_Sign,nominal,textDomain,NA,NA,NA,dissolved nitrate sign,comparison operators,NA
DissNitrateNitrite,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved nitrate concentration,NA,NA
DOC,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved organic carbon,NA,NA
TOC,ratio,numericDomain,milligramsPerLiter,real,NA,total organic carbon,NA,NA
DON,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved organic nitrogen,NA,NA
DissOrthophos_Sign,nominal,textDomain,NA,NA,NA,dissolved orthophosphate sign,comparison operators,NA
DissOrthophos,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved orthophosphate,NA,NA
TotPhos,ratio,numericDomain,milligramsPerLiter,real,NA,total phosphate,NA,NA
DissSilica,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved silica,NA,NA
TDS,ratio,numericDomain,milligramsPerLiter,natural,NA,total dissolved solids,NA,NA
TSS,ratio,numericDomain,milligramsPerLiter,real,NA,total suspended solids,NA,NA
VSS,ratio,numericDomain,milligramsPerLiter,real,NA,volatile suspended solids,NA,NA
TKN,ratio,numericDomain,milligramsPerLiter,real,NA,total kjedahl nitrogen,NA,NA
Year,dateTime,dateTimeDomain,NA,natural,NA,year of measurement,NA,YYYY
WY,dateTime,dateTimeDomain,NA,natural,NA,water year,NA,YYYY
Month,dateTime,dateTimeDomain,NA,natural,NA,month of measurement,NA,MM
SampleCode,nominal,textDomain,NA,NA,NA,sample identifier code,any text,NA
PhysicalDataID,nominal,textDomain,NA,NA,NA,physical data identifier,any text,NA
StationCode,nominal,textDomain,NA,NA,NA,station identifier code,any text,NA
StationNumber,nominal,textDomain,NA,NA,NA,station number,any text,NA
Datetime,dateTime,dateTimeDomain,NA,NA,NA,date and time of measurement,NA,YYYY-MM-DD hh:mm:ss
Date,dateTime,dateTimeDomain,NA,NA,NA,date of measurement,NA,YYYY-MM-DD
Year,dateTime,dateTimeDomain,NA,natural,NA,year of measurement,NA,YYYY
Month,dateTime,dateTimeDomain,NA,natural,NA,month of measurement,NA,MM
MonthAbb,dateTime,dateTimeDomain,NA,NA,NA,month abbreviation,NA,mon
Tide,nominal,textDomain,NA,NA,NA,tide at time of measurement,any text,NA
Microcystis,nominal,textDomain,NA,NA,NA,visual rating of Microcystis in sampled body,"1 = Microcystis absent , 2 = Low-widely scattered colonies",NA
Secchi,ratio,numericDomain,meter,real,NA,secchi disk depth,NA,NA
WaterTemp,interval,numericDomain,celsius,real,NA,water temperature,NA,NA
Conductivity,ratio,numericDomain,microSeimensPerCentimeter,real,NA,water conductivity,NA,NA
SpecificConductance,ratio,numericDomain,microSeimensPerCentimeter,real,NA,water specific conductance,NA,NA
DO,ratio,numericDomain,milligramsPerLiter,real,NA,dissolved oxygen concentration in water,NA,NA
pH,interval,numericDomain,dimensionless,real,NA,pH value of water,NA,NA
Turbidity,ratio,numericDomain,nephelometricTurbidityUnit,real,NA,turbidity of water,NA,NA
Flag_PQC,nominal,textDomain,NA,NA,NA,data flag,"2 = suspicious , 3 = highly suspicious",NA
Comment_PQC,nominal,textDomain,NA,NA,NA,data comments,any text,NA
