attributeName,measurementScale,domain,unit,numberType,attributeLabel,attributeDefinition,definition,formatString
sample_date,dateTime,dateTimeDomain,NA,NA,NA,date of measurement,NA,YYYY-MM-DD
sample_time,dateTime,dateTimeDomain,NA,NA,NA,time of measurement,NA,hh:mm:ss
datetime,dateTime,dateTimeDomain,NA,NA,NA,date and time of measurement,NA,YYYY-MM-DD hh:mm:ss
station_code,nominal,textDomain,NA,NA,NA,station identifier code,any text,NA
event_id,nominal,textDomain,NA,NA,NA,unique sample identifier,any text,NA
depth_m,ratio,numericDomain,meter,real,NA,Depth sample was taken at in meters,NA,NA
volume_received_m_l,ratio,numericDomain,milliliter,real,NA,Volume received by the contractor in milliliters,NA,NA
volume_analyzed_m_l,ratio,numericDomain,milliliter,real,NA,Volume analyzed by the contractor in milliliters,NA,NA
organisims_per_ml,ratio,numericDomain,count,real,NA,Organisms (in natural units) per mL,NA,NA
percent_of_sample_counted,ratio,numericDomain,percent,real,NA,Percent of the sample that was processed,NA,NA
field_of_view_mm2,ratio,numericDomain,millimeters squared,real,NA,Area of each grid field in square millimeters,NA,NA
slide_chamber_area_mm2,ratio,numericDomain,millimeters squared,real,NA,Area of cell bottom in square millimeters,NA,NA
area_counted,ratio,numericDomain,millimeters squared,real,NA,Area counted in square millimeters,NA,NA
dimension,nominal,textDomain,NA,NA,NA,Axis of measurement in length or width,any text,NA
number_of_fields_counted,ratio,numericDomain,count,real,NA,Number of microscope fields counted,NA,NA
factor,ratio,numericDomain,count,real,NA,Multiplier for calculating organisms per milliliter,NA,NA
comments,nominal,textDomain,NA,NA,NA,Taxonomist comments,any text,NA
unit_abundance,ratio,numericDomain,count,real,NA,Natural Unit Abundance,NA,NA
total_cells,ratio,numericDomain,count,real,NA,Total cells per natural unit,NA,NA
taxon,nominal,textDomain,NA,NA,NA,Phytoplankton Taxon Name (genus and species),any text,NA
genus,nominal,textDomain,NA,NA,NA,Phytoplankton Genus Name,any text,NA
species,nominal,textDomain,NA,NA,NA,Phytoplankton Species Name,any text,NA
