"unique_id","physical_data_id","station_code","station_code_original","sample_date","datetime_phytoplankton","datetime_wq","time_diff","dupe"
"STTD_2013-10-30 08:50:00",728,"STTD","STTD",2013-10-30,2013-10-30 08:50:00,2013-10-30 08:50:00,0,FALSE
"LIS_2013-10-30 10:24:00",727,"LIS","LIS",2013-10-30,2013-10-30 10:24:00,2013-10-30 10:24:00,0,FALSE
"SHR_2013-10-31 09:20:00",729,"SHR","SHR",2013-10-31,2013-10-31 09:20:00,2013-10-31 09:20:00,0,FALSE
"LIS_2013-11-05 09:40:00",1110,"LIS","LIS",2013-11-05,2013-11-05 09:40:00,2013-11-05 09:40:00,0,FALSE
"SHR_2013-11-13 09:44:00",762,"SHR","SHR",2013-11-13,2013-11-13 09:44:00,2013-11-13 09:44:00,0,FALSE
"LIS_2013-11-19 10:50:00",1111,"LIS","LIS",2013-11-19,2013-11-19 10:50:00,2013-11-19 10:50:00,0,FALSE
"LIS_2013-12-03 14:05:00",764,"LIS","LIS",2013-12-03,2013-12-03 14:05:00,2013-12-03 14:05:00,0,FALSE
"SHR_2013-12-17 09:20:00",766,"SHR","SHR",2013-12-17,2013-12-17 09:20:00,2013-12-17 09:20:00,0,FALSE
"LIS_2013-12-17 12:44:00",767,"LIS","LIS",2013-12-17,2013-12-17 12:44:00,2013-12-17 12:44:00,0,FALSE
"STTD_2013-12-18 09:15:00",768,"STTD","STTD",2013-12-18,2013-12-18 09:15:00,2013-12-18 09:15:00,0,FALSE
"STTD_2014-01-02 10:07:00",769,"STTD","STTD",2014-01-02,2014-01-02 10:07:00,2014-01-02 10:07:00,0,FALSE
"LIS_2014-01-02 11:50:00",770,"LIS","LIS",2014-01-02,2014-01-02 11:50:00,2014-01-02 11:50:00,0,FALSE
"SHR_2014-01-03 09:30:00",771,"SHR","SHR",2014-01-03,2014-01-03 09:30:00,2014-01-03 09:30:00,0,FALSE
"SHR_2014-01-28 09:35:00",776,"SHR","SHR",2014-01-28,2014-01-28 09:35:00,2014-01-28 09:35:00,0,FALSE
"STTD_2014-01-29 09:55:00",777,"STTD","STTD",2014-01-29,2014-01-29 09:55:00,2014-01-29 09:55:00,0,FALSE
"LIS_2014-01-29 13:19:00",778,"LIS","LIS",2014-01-29,2014-01-29 13:19:00,2014-01-29 13:19:00,0,FALSE
"SHR_2014-02-11 10:01:00",779,"SHR","SHR",2014-02-11,2014-02-11 10:01:00,2014-02-11 10:01:00,0,FALSE
"SHR_2014-02-24 09:10:00",784,"SHR","SHR",2014-02-24,2014-02-24 09:10:00,2014-02-24 09:10:00,0,FALSE
"STTD_2014-02-24 12:30:00",783,"STTD","STTD",2014-02-24,2014-02-24 12:30:00,2014-02-24 12:30:00,0,FALSE
"LIS_2014-02-24 14:20:00",782,"LIS","LIS",2014-02-24,2014-02-24 14:20:00,2014-02-24 14:20:00,0,FALSE
"LIS_2014-04-07 10:35:00",794,"LIS","LIS",2014-04-07,2014-04-07 10:35:00,2014-04-07 10:35:00,0,FALSE
"LIS_2014-04-22 12:39:00",795,"LIS","LIS",2014-04-22,2014-04-22 12:39:00,2014-04-22 12:39:00,0,FALSE
"SHR_2014-04-24 10:30:00",796,"SHR","SHR",2014-04-24,2014-04-24 10:30:00,2014-04-24 10:30:00,0,FALSE
"STTD_2014-06-09 09:15:00",805,"STTD","STTD",2014-06-09,2014-06-09 09:15:00,2014-06-09 09:15:00,0,FALSE
"LIS_2014-06-09 10:50:00",808,"LIS","LIS",2014-06-09,2014-06-09 10:50:00,2014-06-09 10:50:00,0,FALSE
"SHR_2014-06-10 08:30:00",806,"SHR","SHR",2014-06-10,2014-06-10 08:30:00,2014-06-10 08:30:00,0,FALSE
"STTD_2014-08-05 10:15:00",820,"STTD","STTD",2014-08-05,2014-08-05 10:15:00,2014-08-05 10:15:00,0,FALSE
"LIS_2014-08-05 11:01:00",862,"LIS","LIS",2014-08-05,2014-08-05 11:01:00,2014-08-05 11:01:00,0,FALSE
"STTD_2014-08-14 09:42:00",889,"STTD","STTD",2014-08-14,2014-08-14 09:42:00,2014-08-14 09:42:00,0,FALSE
"LIS_2014-08-14 13:27:00",863,"LIS","LIS",2014-08-14,2014-08-14 13:27:00,2014-08-14 13:27:00,0,FALSE
"STTD_2014-08-21 09:47:00",846,"STTD","STTD",2014-08-21,2014-08-21 09:47:00,2014-08-21 09:47:00,0,FALSE
"LIS_2014-08-21 12:03:00",891,"LIS","LIS",2014-08-21,2014-08-21 12:03:00,2014-08-21 12:03:00,0,FALSE
"STTD_2014-08-27 10:12:00",847,"STTD","STTD",2014-08-27,2014-08-27 10:12:00,2014-08-27 10:12:00,0,FALSE
"STTD_2014-09-04 10:35:00",892,"STTD","STTD",2014-09-04,2014-09-04 10:35:00,2014-09-04 10:35:00,0,FALSE
"LIS_2014-09-04 13:41:00",866,"LIS","LIS",2014-09-04,2014-09-04 13:41:00,2014-09-04 13:41:00,0,FALSE
"SHR_2014-09-09 09:10:00",826,"SHR","SHR",2014-09-09,2014-09-09 09:10:00,2014-09-09 09:10:00,0,FALSE
"LIS_2014-09-10 14:04:00",868,"LIS","LIS",2014-09-10,2014-09-10 14:04:00,2014-09-10 14:04:00,0,FALSE
"STTD_2014-09-24 09:47:00",829,"STTD","STTD",2014-09-24,2014-09-24 09:47:00,2014-09-24 09:47:00,0,FALSE
"STTD_2014-10-02 10:50:00",893,"STTD","STTD",2014-10-02,2014-10-02 10:50:00,2014-10-02 10:50:00,0,FALSE
"LIS_2014-10-02 12:30:00",884,"LIS","LIS",2014-10-02,2014-10-02 12:30:00,2014-10-02 12:30:00,0,FALSE
"SHR_2014-10-06 09:30:00",830,"SHR","SHR",2014-10-06,2014-10-06 09:30:00,2014-10-06 09:30:00,0,FALSE
"STTD_2014-10-07 09:40:00",831,"STTD","STTD",2014-10-07,2014-10-07 09:40:00,2014-10-07 09:40:00,0,FALSE
"STTD_2014-10-13 10:13:00",894,"STTD","STTD",2014-10-13,2014-10-13 10:13:00,2014-10-13 10:13:00,0,FALSE
"LIS_2014-10-13 13:00:00",886,"LIS","LIS",2014-10-13,2014-10-13 13:00:00,2014-10-13 13:00:00,0,FALSE
"SHR_2014-10-22 09:18:00",832,"SHR","SHR",2014-10-22,2014-10-22 09:18:00,2014-10-22 09:18:00,0,FALSE
"LIS_2014-10-23 08:54:00",887,"LIS","LIS",2014-10-23,2014-10-23 08:54:00,2014-10-23 08:54:00,0,FALSE
"STTD_2014-10-23 09:40:00",833,"STTD","STTD",2014-10-23,2014-10-23 09:40:00,2014-10-23 09:40:00,0,FALSE
"STTD_2014-10-27 10:43:00",895,"STTD","STTD",2014-10-27,2014-10-27 10:43:00,2014-10-27 10:43:00,0,FALSE
"LIS_2014-10-27 12:10:00",888,"LIS","LIS",2014-10-27,2014-10-27 12:10:00,2014-10-27 12:10:00,0,FALSE
"SHR_2014-11-04 09:10:00",834,"SHR","SHR",2014-11-04,2014-11-04 09:10:00,2014-11-04 09:10:00,0,FALSE
"STTD_2014-11-05 09:10:00",835,"STTD","STTD",2014-11-05,2014-11-05 09:10:00,2014-11-05 09:10:00,0,FALSE
"SHR_2014-11-18 08:49:00",836,"SHR","SHR",2014-11-18,2014-11-18 08:49:00,2014-11-18 08:49:00,0,FALSE
"STTD_2014-11-19 08:21:00",837,"STTD","STTD",2014-11-19,2014-11-19 08:21:00,2014-11-19 08:21:00,0,FALSE
"LIS_2014-11-19 09:39:00",1057,"LIS","LIS",2014-11-19,2014-11-19 09:39:00,2014-11-19 09:39:00,0,FALSE
"SHR_2014-12-03 08:45:00",838,"SHR","SHR",2014-12-03,2014-12-03 08:45:00,2014-12-03 08:45:00,0,FALSE
"STTD_2014-12-04 09:31:00",839,"STTD","STTD",2014-12-04,2014-12-04 09:31:00,2014-12-04 09:31:00,0,FALSE
"STTD_2014-12-18 08:57:00",841,"STTD","STTD",2014-12-18,2014-12-18 08:57:00,2014-12-18 08:57:00,0,FALSE
"LIS_2014-12-18 12:53:00",1059,"LIS","LIS",2014-12-18,2014-12-18 12:53:00,2014-12-18 12:53:00,0,FALSE
"SHR_2014-12-29 09:12:00",842,"SHR","SHR",2014-12-29,2014-12-29 09:12:00,2014-12-29 09:12:00,0,FALSE
"STTD_2014-12-30 10:52:00",843,"STTD","STTD",2014-12-30,2014-12-30 10:52:00,2014-12-30 10:52:00,0,FALSE
"LIS_2014-12-30 13:55:00",1060,"LIS","LIS",2014-12-30,2014-12-30 13:55:00,2014-12-30 13:55:00,0,FALSE
"LIS_2015-01-08 13:56:00",1061,"LIS","LIS",2015-01-08,2015-01-08 13:56:00,2015-01-08 13:56:00,0,FALSE
